"コード
4桁",バス停・駅電停・港・空港名,ターミナル種類・鉄道路線等,地域,住所,備考
2482,浦安本町,,岡山市南区,岡山市南区浦安本町,
2483,浦安南町,,岡山市南区,岡山市南区浦安南町,
2484,エブリイ岡南築港店前,,岡山市南区,岡山市南区築港栄町１２,
2485,大角橋,,岡山市南区,岡山市南区西市,
2486,大東,,岡山市南区,岡山市南区藤田,
2487,大福,,岡山市南区,岡山市南区大福,
2488,大福中,,岡山市南区,岡山市南区大福,
2489,大曲,,岡山市南区,岡山市南区中畦,
2490,岡山港,,岡山市南区,岡山市南区市場１丁目,
2491,岡山南支援学校,,岡山市南区,岡山市南区内尾,
2492,岡山ろうさい病院,,岡山市南区,岡山市南区築港緑町１丁目１０,
2493,岡山ろうさい病院入口,,岡山市南区,岡山市南区築港緑町１丁目１４,
2494,貝殻山登山口,,岡山市南区,岡山市南区宮浦,
2495,海岸通,,岡山市南区,岡山市南区海岸通２丁目,
2496,重岩,,岡山市南区,岡山市南区宮浦,
2497,片崎,,岡山市南区,岡山市南区西高崎,
2498,門前,,岡山市南区,岡山市南区箕島,
2499,機工センター,,岡山市南区,岡山市南区福成２丁目,
2500,機工センター口,,岡山市南区,岡山市南区三浜町２丁目,
2501,北浦,,岡山市南区,岡山市南区北浦,
2502,北浦渡船場,,岡山市南区,岡山市南区築港元町,
2503,金甲山登山口,,岡山市南区,岡山市南区飽浦,
2504,クラレ岡山前,,岡山市南区,岡山市南区海岸通１丁目,
2505,県営うらやす団地前,,岡山市南区,岡山市南区浦安本町,
2506,興除郵便局前,,岡山市南区,岡山市南区中畦,
2507,岡南産婦人科入口,,岡山市南区,岡山市南区福吉町,
2508,岡南飛行場,,岡山市南区,岡山市南区浦安南町,
2509,興陽高校前,,岡山市南区,岡山市南区藤田,
2510,甲浦学校前,,岡山市南区,岡山市南区飽浦,
2511,甲浦支所前,,岡山市南区,岡山市南区北浦,
2512,甲浦郵便局前,,岡山市南区,岡山市南区郡,
2513,郡,,岡山市南区,岡山市南区郡,
2514,郡団地口,,岡山市南区,岡山市南区郡,
2515,小串,,岡山市南区,岡山市南区小串,
2516,小串西,,岡山市南区,岡山市南区小串,
2517,小串東,,岡山市南区,岡山市南区小串,
2518,駒形団地,,岡山市南区,岡山市南区箕島,
2519,米崎,,岡山市南区,岡山市南区小串,
2520,慈圭病院,,岡山市南区,岡山市南区浦安本町,
2521,重井付属病院,,岡山市南区,岡山市南区山田,
2522,下電バス興除営業所前,,岡山市南区,岡山市南区曽根,
2523,新福,,岡山市南区,岡山市南区新福１丁目,
2524,新保,,岡山市南区,岡山市南区新保,
2525,新保北,,岡山市南区,岡山市南区新保,
2526,新保口,,岡山市南区,岡山市南区新保,
2527,新保口下,,岡山市南区,岡山市南区新保,
2528,新保南,,岡山市南区,岡山市南区新保,
2529,新町北,,岡山市南区,岡山市南区築港新町１丁目,
2530,新町中央,,岡山市南区,岡山市南区築港新町２丁目,
2531,新屋敷,,岡山市南区,岡山市南区新保,
2532,洲崎,,岡山市南区,岡山市南区福浜西町,
2533,砂場十字路,,岡山市南区,岡山市南区箕島,
2534,砂場東,,岡山市南区,岡山市南区箕島,
2535,清戸,,岡山市南区,岡山市南区箕島,
2536,せのお病院前,,岡山市南区,岡山市南区妹尾,
2537,曽根小学校前,,岡山市南区,岡山市南区曽根,
2538,曽根新道,,岡山市南区,岡山市南区曽根,
2539,ダイキ岡山前,,岡山市南区,岡山市南区藤田,
2540,大建前,,岡山市南区,岡山市南区海岸通１丁目,
2541,太刀洗口,,岡山市南区,岡山市南区浦安南町,
2542,太刀洗東,,岡山市南区,岡山市南区浦安南町,
2543,淡水湖北口,,岡山市南区,岡山市南区築港栄町,
2544,築港栄町,,岡山市南区,岡山市南区築港栄町,
2545,築港新町,,岡山市南区,岡山市南区築港新町１丁目・築港栄町,バス停分散により住所が異なる
2546,築港元町,,岡山市南区,岡山市南区海岸通２丁目,
2547,千鳥町,,岡山市南区,岡山市南区福吉町,
2548,中央市場前,,岡山市南区,岡山市南区築港元町,
2549,中央中畦,,岡山市南区,岡山市南区中畦,
2550,当新田,,岡山市南区,岡山市南区当新田,
2551,同和鉱業前,,岡山市南区,岡山市南区海岸通２丁目,
2552,土地改良区前,,岡山市南区,岡山市南区浦安本町,
2553,豊成,,岡山市南区,岡山市南区豊浜町,
2554,中畦,,岡山市南区,岡山市南区中畦,
2555,七区入口,,岡山市南区,岡山市南区西紅陽台３丁目,
2556,並木町,,岡山市南区,岡山市南区並木町２丁目,
2557,並木町二丁目,,岡山市南区,岡山市南区並木町２丁目,
2558,南輝小学校前,,岡山市南区,岡山市南区築港新町１丁目,
2559,西飽浦,,岡山市南区,岡山市南区飽浦,
2560,西市団地,,岡山市南区,岡山市南区万倍,
2561,西市デイサービスセンター前,,岡山市南区,岡山市南区新保,
2562,西市ヤマダ電機前,,岡山市南区,岡山市南区西市,
2563,西植松,,岡山市南区,岡山市南区植松,
2564,西畦,,岡山市南区,岡山市南区西畦,
2565,錦貯水,,岡山市南区,岡山市南区藤田,
2566,錦六区入口,,岡山市南区,岡山市南区藤田,
2567,西紅陽台,,岡山市南区,岡山市南区西紅陽台２丁目,
2568,西高崎,,岡山市南区,岡山市南区西紅陽台１丁目,
2569,西原,,岡山市南区,岡山市南区阿津,
2570,浜野入口,,岡山市南区,岡山市南区新福２丁目,
2571,浜野西,,岡山市南区,岡山市南区豊浜町,
2572,東内尾,,岡山市南区,岡山市南区内尾,
2573,東郡,,岡山市南区,岡山市南区郡,
2574,東曽根,,岡山市南区,岡山市南区曽根,
2575,東西畦,,岡山市南区,岡山市南区曽根,
2576,ひかり幼稚園前,,岡山市南区,岡山市南区築港新町２丁目,
2577,彦崎跨線橋,,岡山市南区,岡山市南区植松,
2578,丙川,,岡山市南区,岡山市南区曽根,
2579,火の見,,岡山市南区,岡山市南区箕島,
2580,平福,,岡山市南区,岡山市南区平福１丁目,
2581,福島,,岡山市南区,岡山市南区福島４丁目,
2582,福田,,岡山市南区,岡山市南区福田,
2583,福田公会堂前,,岡山市南区,岡山市南区福田,
2584,福田南,,岡山市南区,岡山市南区福田,
2585,福富西一丁目,,岡山市南区,岡山市南区福富西１丁目,
2586,福富西二丁目,,岡山市南区,岡山市南区福富西２丁目,
2587,福浜校前,,岡山市南区,岡山市南区福富東１丁目,
2588,福吉町,,岡山市南区,岡山市南区福吉町,
2589,藤田第二小学校沖,,岡山市南区,岡山市南区藤田,
2590,藤田団地北,,岡山市南区,岡山市南区藤田,
2591,藤田団地南,,岡山市南区,岡山市南区藤田,
2592,芳泉高入口,,岡山市南区,岡山市南区泉田,
2593,芳泉高前,,岡山市南区,岡山市南区当新田,
2594,松浜町,,岡山市南区,岡山市南区福成３丁目,
2595,三井製糖前,,岡山市南区,岡山市南区築港元町,
2596,緑町,,岡山市南区,岡山市南区築港緑町１丁目,
2597,南区役所興除地域センター前,,岡山市南区,岡山市南区中畦,
2598,南栄町,,岡山市南区,岡山市南区築港栄町,
2599,南中畦,,岡山市南区,岡山市南区中畦,
2600,南ふれあいセンター,,岡山市南区,岡山市南区福田,
2601,三浜町,,岡山市南区,岡山市南区福吉町,
2602,宮浦,,岡山市南区,岡山市南区宮浦,
2603,宮浦東,,岡山市南区,岡山市南区宮浦,
2604,都六区入口,,岡山市南区,岡山市南区藤田,
2605,都六区下,,岡山市南区,岡山市南区藤田,
2606,みやはら耳鼻科・福浜市営住宅前,,岡山市南区,岡山市南区福浜西町６,
2607,向小串西,,岡山市南区,岡山市南区小串,
2608,向小串東,,岡山市南区,岡山市南区小串,
2609,芳田郵便局前,,岡山市南区,岡山市南区泉田,
2610,米倉,,岡山市南区,岡山市南区当新田,
2611,四番用水,,岡山市南区,岡山市南区浦安本町,
2612,両備テクノ前,,岡山市南区,岡山市南区西市,
2613,若葉町,,岡山市南区,岡山市南区松浜町,
2614,和田,,岡山市南区,岡山市南区妹尾,
2615,OHKハウジングパーク前,,岡山市中区,岡山市中区浜,
2616,赤田,,岡山市中区,岡山市中区赤田,
2617,朝日高前,,岡山市中区,岡山市中区国富１丁目,
2618,網浜,,岡山市中区,岡山市中区赤坂本町,
2619,網浜下,,岡山市中区,岡山市中区桜橋３丁目,
2620,網浜中,,岡山市中区,岡山市中区赤坂本町,
2621,池の内,,岡山市中区,岡山市中区湊,
2622,池の内東,,岡山市中区,岡山市中区湊,
2623,一区,,岡山市中区,岡山市中区湊,
2624,宇野団地入口,,岡山市中区,岡山市中区浜,
2625,江崎,,岡山市中区,岡山市中区江崎,
2626,エディオン東川原店前,,岡山市中区,岡山市中区東川原,
2627,大井手,,岡山市中区,岡山市中区桜橋１丁目,
2628,オージー技研,,岡山市中区,岡山市中区海吉,
2629,岡電高屋,,岡山市中区,岡山市中区高屋,
2630,岡山国際ホテル,,岡山市中区,岡山市中区門田文化町３丁目,
2631,岡山市中区役所前,,岡山市中区,岡山市中区浜３丁目,
2632,岡山中央警察署前,,岡山市中区,岡山市中区浜,
2633,岡山ハートクリニック前,,岡山市中区,岡山市中区西川原,
2634,岡山東支援学校口,,岡山市中区,岡山市中区土田,
2635,岡山ふれあいセンター,,岡山市中区,岡山市中区桑野,
2636,沖元,,岡山市中区,岡山市中区沖元,
2637,沖元西,,岡山市中区,岡山市中区沖元,
2638,乙多見,,岡山市中区,岡山市中区神下,
2639,乙多見西,,岡山市中区,岡山市中区神下,
2640,雄町,,岡山市中区,岡山市中区雄町,
2641,雄町中,,岡山市中区,岡山市中区雄町,
2642,雄町西,,岡山市中区,岡山市中区中井,
2643,雄町東,,岡山市中区,岡山市中区雄町,
2644,門田屋敷,,岡山市中区,岡山市中区中納言町,
2645,兼基,,岡山市中区,岡山市中区兼基,
2646,兼基西,,岡山市中区,岡山市中区兼基,
2647,兼基東,,岡山市中区,岡山市中区兼基,
2648,上平井,,岡山市中区,岡山市中区平井６丁目,
2649,川東町入口,,岡山市中区,岡山市中区平井３丁目,
2650,管理事務所,,岡山市中区,岡山市中区新築港,
2651,祇園,,岡山市中区,岡山市中区祇園,
2652,祇園入口,,岡山市中区,岡山市中区賞田,
2653,協立病院前,,岡山市中区,岡山市中区赤坂本町１,
2654,旭東病院前,,岡山市中区,岡山市中区倉田,
2655,国富,,岡山市中区,岡山市中区国富１丁目,
2656,国富東,,岡山市中区,岡山市中区国富１丁目,
2657,倉田北,,岡山市中区,岡山市中区平井３丁目,
2658,桑野,,岡山市中区,岡山市中区桑野,
2659,桑野営業所,,岡山市中区,岡山市中区桑野,
2660,桑野東,,岡山市中区,岡山市中区沖元,
2661,公会堂前,,岡山市中区,岡山市中区湯迫,
2662,コウリョー前,,岡山市中区,岡山市中区雄町,
2663,コープ東川原店前,,岡山市中区,岡山市中区東川原,
2664,国清寺前,,岡山市中区,岡山市中区門田屋敷本町,
2665,国府市場,,岡山市中区,岡山市中区国府市場,
2666,国府市場西,,岡山市中区,岡山市中区国府市場,
2667,護国神社前,,岡山市中区,岡山市中区門田文化町３丁目,
2668,小橋,,岡山市中区,岡山市中区小橋町２丁目,
2669,穝,,岡山市中区,岡山市中区穝,
2670,穝東町一丁目,,岡山市中区,岡山市中区穝,
2671,桜ヶ丘,,岡山市中区,岡山市中区門田本町４丁目,
2672,桜橋,,岡山市中区,岡山市中区桜橋２丁目,
2673,三蟠農協前,,岡山市中区,岡山市中区江崎,
2674,三蟠南,,岡山市中区,岡山市中区藤崎,
2675,三蟠郵便局北,,岡山市中区,岡山市中区江並,
2676,三蟠郵便局前,,岡山市中区,岡山市中区江並,
2677,三蟠用水,,岡山市中区,岡山市中区藤崎,
2678,山陽学園大学・短大前,,岡山市中区,岡山市中区平井１丁目,
2679,山陽女子中学・高校前,,岡山市中区,岡山市中区門田屋敷１丁目９,
2680,四軒屋,,岡山市中区,岡山市中区平井５丁目,
2681,四軒屋住宅,,岡山市中区,岡山市中区平井５丁目,
2682,宍甘,,岡山市中区,岡山市中区下,
2683,児童公園前,,岡山市中区,岡山市中区高島２丁目,
2684,自動車学校入口,,岡山市中区,岡山市中区円山,
2685,四御神,,岡山市中区,岡山市中区土田,
2686,四御神上,,岡山市中区,岡山市中区土田,
2687,四御神車庫,,岡山市中区,岡山市中区土田,
2688,四御神西,,岡山市中区,岡山市中区四御神,
2689,四御神南,,岡山市中区,岡山市中区土田,
2690,清水,,岡山市中区,岡山市中区清水１丁目,
2691,市民の森,,岡山市中区,岡山市中区新築港,
2692,ジョイフル東川原店前,,岡山市中区,岡山市中区東川原,
2693,賞田,,岡山市中区,岡山市中区賞田,
2694,賞田上,,岡山市中区,岡山市中区賞田,
2695,浄土寺前,,岡山市中区,岡山市中区湯迫,
2696,消防訓練センター入口,,岡山市中区,岡山市中区桑野,
2697,新岡山港,,岡山市中区,岡山市中区新築港,
2698,新道江崎,,岡山市中区,岡山市中区江崎,
2699,新道江崎下,,岡山市中区,岡山市中区江崎,
2700,新道江並,,岡山市中区,岡山市中区藤崎,
2701,新道江並下,,岡山市中区,岡山市中区藤崎,
2702,新道上平井,,岡山市中区,岡山市中区平井５丁目,
2703,新道中畑,,岡山市中区,岡山市中区江崎,
2704,新道中畑下,,岡山市中区,岡山市中区江崎,
2705,新道浜中,,岡山市中区,岡山市中区江崎,
2706,新道元町,,岡山市中区,岡山市中区平井１丁目,
2707,新中島竹田橋,,岡山市中区,岡山市中区西川原,
2708,新屋敷団地,,岡山市中区,岡山市中区高島２丁目,
2709,新屋敷団地高島駅前,,岡山市中区,岡山市中区高島２丁目,
2710,新屋敷団地中,,岡山市中区,岡山市中区高島２丁目,
2711,新屋敷団地西,,岡山市中区,岡山市中区高島２丁目,
2712,積水ハウス操南台団地入口,,岡山市中区,岡山市中区湊,
2713,積水ハウス操南台団地中,,岡山市中区,岡山市中区湊,
2714,積水ハウス操南台団地西,,岡山市中区,岡山市中区湊,
2715,積水ハウス操南台団地東,,岡山市中区,岡山市中区湊,
2716,セレマ前,,岡山市中区,岡山市中区門田屋敷１丁目１０,
2717,曹源寺,,岡山市中区,岡山市中区円山,
2718,操南団地入口,,岡山市中区,岡山市中区倉田,
2719,操南中学校前,,岡山市中区,岡山市中区桑野,
2720,操陽団地,,岡山市中区,岡山市中区湊,
2721,高島団地,,岡山市中区,岡山市中区高島１丁目,
2722,高屋,,岡山市中区,岡山市中区高屋,
2723,高屋東,,岡山市中区,岡山市中区高屋,
2724,岳・嶽,,岡山市中区,岡山市中区円山,異字注意
2725,竜の口コミュニティハウス入口,,岡山市中区,岡山市中区四御神,
2726,団地入口,,岡山市中区,岡山市中区藤原西町２丁目,
2727,土田,,岡山市中区,岡山市中区土田,
2728,土田東,,岡山市中区,岡山市中区土田,
2729,中井,,岡山市中区,岡山市中区中井,
2730,中井北,,岡山市中区,岡山市中区中井,
2731,中井南,,岡山市中区,岡山市中区中井,
2732,長岡,,岡山市中区,岡山市中区下,
2733,長岡・駅前,,岡山市中区,岡山市中区土田,
2734,長岡団地,,岡山市中区,岡山市中区長岡,
2735,長岡中央,,岡山市中区,岡山市中区長岡,
2736,長岡西,,岡山市中区,岡山市中区長岡,
2737,長岡南,,岡山市中区,岡山市中区長岡,
2738,中島,,岡山市中区,岡山市中区中島,
2739,中島上,,岡山市中区,岡山市中区八幡,
2740,南山寮,,岡山市中区,岡山市中区湊,
2741,西川原,,岡山市中区,岡山市中区西川原,
2742,二本松,,岡山市中区,岡山市中区藤原,
2743,二本松東,,岡山市中区,岡山市中区高屋,
2744,博愛会病院前,,岡山市中区,岡山市中区門田屋敷１丁目,
2745,浜（岡山プラザホテル前）,,岡山市中区,岡山市中区浜,
2746,浜・中区役所前,,岡山市中区,岡山市中区浜３丁目,
2747,浜東・中区役所前,,岡山市中区,岡山市中区浜３丁目,
2748,浜本町,,岡山市中区,岡山市中区浜３丁目,
2749,林病院入口,,岡山市中区,岡山市中区東川原,
2750,原尾島,,岡山市中区,岡山市中区原尾島３丁目,
2751,原尾島一丁目,,岡山市中区,岡山市中区原尾島１丁目,
2752,原尾島住宅,,岡山市中区,岡山市中区原尾島,
2753,原尾島住宅前,,岡山市中区,岡山市中区原尾島,
2754,原尾島橋,,岡山市中区,岡山市中区原尾島１丁目,
2755,原東,,岡山市中区,岡山市中区原尾島４丁目,
2756,東岡山駅前,,岡山市中区,岡山市中区長岡,
2757,東が丘団地,,岡山市中区,岡山市中区四御神,
2758,東が丘団地入口,,岡山市中区,岡山市中区四御神,
2759,東が丘団地中,,岡山市中区,岡山市中区四御神,
2760,東が丘西,,岡山市中区,岡山市中区四御神,
2761,東川原,,岡山市中区,岡山市中区東川原,
2762,東高前,,岡山市中区,岡山市中区赤坂本町３,
2763,東山,,岡山市中区,岡山市中区御成町,
2764,東山一丁目,,岡山市中区,岡山市中区御成町６,
2765,東山カントリー,,岡山市中区,岡山市中区湊,
2766,東山電停前,,岡山市中区,岡山市中区東山２丁目,
2767,東山峠,,岡山市中区,岡山市中区門田文化町３丁目,
2768,平井,,岡山市中区,岡山市中区平井７丁目,
2769,平井下町,,岡山市中区,岡山市中区平井,
2770,平井小学校,,岡山市中区,岡山市中区平井５丁目,
2771,平井小学校入口,,岡山市中区,岡山市中区平井５丁目,
2772,平井元町,,岡山市中区,岡山市中区平井６丁目,
2773,福泊,,岡山市中区,岡山市中区福泊,
2774,藤崎,,岡山市中区,岡山市中区藤崎,
2775,藤の里,,岡山市中区,岡山市中区中井,
2776,藤原,,岡山市中区,岡山市中区藤原西町１丁目,
2777,藤原団地,,岡山市中区,岡山市中区藤原光町２丁目,
2778,藤原西町,,岡山市中区,岡山市中区藤原西町２丁目,
2779,藤原光町,,岡山市中区,岡山市中区藤原光町２丁目,
2780,付属校前,,岡山市中区,岡山市中区東山２丁目,
2781,古京,,岡山市中区,岡山市中区徳吉町１丁目,
2782,保育所前,,岡山市中区,岡山市中区高島２丁目,
2783,蓬莱橋・夢二郷土美術館前,,岡山市中区,岡山市中区浜２丁目,
2784,前土田,,岡山市中区,岡山市中区土田,
2785,宮道,,岡山市中区,岡山市中区江崎,
2786,宮道東,,岡山市中区,岡山市中区江崎,
2787,御幸町,,岡山市中区,岡山市中区御幸町,
2788,海吉,,岡山市中区,岡山市中区海吉,
2789,木材市場入口,,岡山市中区,岡山市中区平井５丁目,
2790,木材市場前,,岡山市中区,岡山市中区平井６丁目,
2791,元上町,,岡山市中区,岡山市中区平井５丁目２,
2792,ヤンマー農機製造前,,岡山市中区,岡山市中区藤崎,
2793,湯迫,,岡山市中区,岡山市中区湯迫,
2794,湯迫東,,岡山市中区,岡山市中区湯迫,
2795,ろう学校前,,岡山市中区,岡山市中区土田,
2796,六枚橋,,岡山市中区,岡山市中区原尾島３丁目,
2797,六区,,岡山市中区,岡山市中区湊,
2798,ワールド前,,岡山市中区,岡山市中区下,
2799,脇田,,岡山市中区,岡山市中区賞田,
2800,脇田入口,,岡山市中区,岡山市中区祇園,
2801,JA福渡支所前,,岡山市北区,岡山市北区建部町福渡,
2802,JR建部駅,,岡山市北区,岡山市北区建部町中田,
2803,JR福渡駅,,岡山市北区,岡山市北区建部町福渡,
2804,NTT岡山前,,岡山市北区,岡山市北区中山下１丁目,
2805,青江北,,岡山市北区,岡山市北区青江１丁目,
2806,青江西,,岡山市北区,岡山市北区青江５丁目,
2807,青葉台,,岡山市北区,岡山市北区津高,
2808,赤田,,岡山市北区,岡山市北区建部町川口,
2809,晃の里前,,岡山市北区,岡山市北区佐山,
2810,旭川荘,,岡山市北区,岡山市北区中原,
2811,旭川荘北,,岡山市北区,岡山市北区中原,
2812,旭川ダム,,岡山市北区,岡山市北区建部町鶴田,
2813,朝日塾小学校前,,岡山市北区,岡山市北区吉宗,
2814,味彩館,,岡山市北区,岡山市北区高松,
2815,味彩館前,,岡山市北区,岡山市北区高松,
2816,足守駅,,岡山市北区,岡山市北区福崎,
2817,足守中之町,,岡山市北区,岡山市北区足守,
2818,足守プラザ,,岡山市北区,岡山市北区足守,
2819,足守郵便局,,岡山市北区,岡山市北区足守,
2820,足守郵便局前,,岡山市北区,岡山市北区足守,
2821,天津神社,,岡山市北区,岡山市北区建部町大田,
2822,新井,,岡山市北区,岡山市北区建部町三明寺,
2823,イオンスタイル岡山青江前,,岡山市北区,岡山市北区青江２丁目７,
2824,イオンモール岡山前・源吉兆庵本社前,,岡山市北区,岡山市北区幸町７,
2825,石上公民館,,岡山市北区,岡山市北区御津石上,
2826,石指,,岡山市北区,岡山市北区御津中畑,
2827,石原,,岡山市北区,岡山市北区御津紙工,
2828,伊島校前,,岡山市北区,岡山市北区伊島町１丁目,
2829,伊島町二丁目,,岡山市北区,岡山市北区伊島町２丁目,
2830,出石町一丁目,,岡山市北区,岡山市北区出石町１丁目,
2831,一宮東,,岡山市北区,岡山市北区一宮,
2832,一本松,,岡山市北区,岡山市北区御津矢知,
2833,稲荷参道口,,岡山市北区,岡山市北区高松原古才,
2834,稲荷山,,岡山市北区,岡山市北区高松稲荷,
2835,伊福町一丁目,,岡山市北区,岡山市北区伊福町１丁目,
2836,伊福町三丁目,,岡山市北区,岡山市北区伊福町３丁目,
2837,伊福町二丁目,,岡山市北区,岡山市北区伊福町２丁目,
2838,今五丁目,,岡山市北区,岡山市北区今５丁目,
2839,今七丁目,,岡山市北区,岡山市北区今７丁目,
2840,今八丁目,,岡山市北区,岡山市北区今８丁目,
2841,今村宮,,岡山市北区,岡山市北区今７丁目,
2842,今村宮北,,岡山市北区,岡山市北区今５丁目,
2843,今村西,,岡山市北区,岡山市北区今４丁目,
2844,今六丁目,,岡山市北区,岡山市北区今５丁目,
2845,入野口,,岡山市北区,岡山市北区建部町角石谷,
2846,入野公民館,,岡山市北区,岡山市北区建部町三明寺,
2847,岩井,,岡山市北区,岡山市北区関西町,
2848,祝木,,岡山市北区,岡山市北区建部町角石畝,
2849,岩田町,,岡山市北区,岡山市北区岩田町,
2850,インキュベーションセンター,,岡山市北区,岡山市北区芳賀,
2851,上谷上,,岡山市北区,岡山市北区建部町大田,
2852,上谷下,,岡山市北区,岡山市北区建部町大田,
2853,上谷中,,岡山市北区,岡山市北区建部町大田,
2854,上村,,岡山市北区,岡山市北区御津宇甘,
2855,上村上,,岡山市北区,岡山市北区御津宇甘,
2856,宇垣原,,岡山市北区,岡山市北区御津宇垣,
2857,宇甘川荘前,,岡山市北区,岡山市北区御津紙工,
2858,浮田,,岡山市北区,岡山市北区粟井,
2859,内山下,,岡山市北区,岡山市北区内山下１丁目,
2860,畝入口,,岡山市北区,岡山市北区建部町角石谷,
2861,畝東,,岡山市北区,岡山市北区建部町角石畝,
2862,畝文化センター,,岡山市北区,岡山市北区建部町角石畝,
2863,江川,,岡山市北区,岡山市北区宿,
2864,駅前町,,岡山市北区,岡山市北区駅元町,
2865,駅元町,,岡山市北区,岡山市北区駅元町,
2866,江尻,,岡山市北区,岡山市北区建部町西原,
2867,エブリイOkanaka津高前,,岡山市北区,岡山市北区横井上,
2868,円通寺,,岡山市北区,岡山市北区建部町角石谷,
2869,大穴,,岡山市北区,岡山市北区建部町田地子,
2870,大井,,岡山市北区,岡山市北区大井,
2871,大井川,,岡山市北区,岡山市北区門前,
2872,大井商工会,,岡山市北区,岡山市北区大井,
2873,大岩口,,岡山市北区,岡山市北区横井上,
2874,大鹿,,岡山市北区,岡山市北区御津芳谷,
2875,大鹿上,,岡山市北区,岡山市北区御津芳谷,
2876,大鹿下,,岡山市北区,岡山市北区御津芳谷,
2877,大窪,,岡山市北区,岡山市北区大窪,
2878,大窪下,,岡山市北区,岡山市北区大窪,
2879,大蔵公民館,,岡山市北区,岡山市北区建部町和田南,
2880,大下,,岡山市北区,岡山市北区御津河内,
2881,大曽根,,岡山市北区,岡山市北区御津矢原,
2882,大田活性化センター,,岡山市北区,岡山市北区建部町大田,
2883,大谷,,岡山市北区,岡山市北区御津高津,
2884,大月,,岡山市北区,岡山市北区御津北野,
2885,大坪,,岡山市北区,岡山市北区御津北野,
2886,大頭前,,岡山市北区,岡山市北区建部町富沢,
2887,大野,,岡山市北区,岡山市北区御津虎倉,
2888,大野上,,岡山市北区,岡山市北区御津虎倉,
2889,大野辻,,岡山市北区,岡山市北区今１丁目,
2890,大原,,岡山市北区,岡山市北区玉柏,
2891,大原橋,,岡山市北区,岡山市北区玉柏,
2892,大元一丁目,,岡山市北区,岡山市北区大元１丁目,
2893,大元駅法務局入口,,岡山市北区,岡山市北区西古松２丁目,
2894,大元駅前,,岡山市北区,岡山市北区大元駅前,
2895,大元上町,,岡山市北区,岡山市北区大元上町,
2896,大元小学校前,,岡山市北区,岡山市北区大元上町,
2897,おおもと病院前,,岡山市北区,岡山市北区西古松西町,
2898,岡工口,,岡山市北区,岡山市北区伊福町１丁目,
2899,岡工前,,岡山市北区,岡山市北区伊福町３丁目,
2900,岡大入口,,岡山市北区,岡山市北区学南町２丁目,
2901,岡大北口,,岡山市北区,岡山市北区津島福居２丁目,
2902,岡大西門,,岡山市北区,岡山市北区津島中２丁目,
2903,岡大東門,,岡山市北区,岡山市北区津島中２丁目,
2904,岡電・柳川,,岡山市北区,岡山市北区蕃山町１,
2905,丘富作業場,,岡山市北区,岡山市北区建部町西原,
2906,岡ビル前,,岡山市北区,岡山市北区野田屋町１丁目,
2907,岡山インター,,岡山市北区,岡山市北区富原,
2908,岡山運輸支局,,岡山市北区,岡山市北区田原,
2909,岡山駅,,岡山市北区,岡山市北区駅元町１,
2910,岡山駅西口,,岡山市北区,岡山市北区駅元町１１,
2911,岡山駅前,,岡山市北区,岡山市北区本町２,
2912,岡山駅前・ドレミの街,,岡山市北区,岡山市北区本町,
2913,岡山北警察署前,,岡山市北区,岡山市北区御津草生,
2914,岡山県立美術館,,岡山市北区,岡山市北区天神町８,
2915,岡山後楽園,,岡山市北区,岡山市北区後楽園,
2916,岡山市役所前,,岡山市北区,岡山市北区大供１丁目,
2917,岡山商大前,,岡山市北区,岡山市北区津島京町３丁目,
2918,岡山大学筋,,岡山市北区,岡山市北区いずみ町２,
2919,岡山高島屋前,,岡山市北区,岡山市北区本町６,
2920,岡山中央病院前,,岡山市北区,岡山市北区伊島北町,
2921,岡山東部脳神経外科病院,,岡山市北区,岡山市北区牟佐,
2922,岡山ドーム入口,,岡山市北区,岡山市北区野田４丁目,
2923,岡山ナザレン教会前,,岡山市北区,岡山市北区津島東２丁目,
2924,岡山放送前,,岡山市北区,岡山市北区学南町１丁目４,
2925,岡山桃太郎空港,,岡山市北区,岡山市北区日応寺,
2926,岡山理科大学,,岡山市北区,岡山市北区津島東４丁目,
2927,岡山理科大学東門,,岡山市北区,岡山市北区理大町,
2928,岡山流通会館前,,岡山市北区,岡山市北区大内田,
2929,奥河内,,岡山市北区,岡山市北区御津河内,
2930,奥河内上,,岡山市北区,岡山市北区御津河内,
2931,奥谷入口,,岡山市北区,岡山市北区西花尻,
2932,小倉公民館,,岡山市北区,岡山市北区建部町小倉,
2933,小倉橋,,岡山市北区,岡山市北区御津草生,
2934,小倉橋北側,,岡山市北区,岡山市北区建部町小倉,
2935,小田,,岡山市北区,岡山市北区御津河内,
2936,小田上,,岡山市北区,岡山市北区御津河内,
2937,尾上かみ,,岡山市北区,岡山市北区尾上,
2938,尾上しも,,岡山市北区,岡山市北区尾上,
2939,尾上南,,岡山市北区,岡山市北区尾上,
2940,小林口,,岡山市北区,岡山市北区横井上,
2941,表町入口,,岡山市北区,岡山市北区表町１丁目,
2942,表町バスセンター,,岡山市北区,岡山市北区内山下１丁目６,
2943,栢谷口,,岡山市北区,岡山市北区吉宗,
2944,柿坂上,,岡山市北区,岡山市北区御津中畑,
2945,柿坂口,,岡山市北区,岡山市北区御津中畑,
2946,柿坂下,,岡山市北区,岡山市北区御津中畑,
2947,柿坂中,,岡山市北区,岡山市北区御津中畑,
2948,陰地橋,,岡山市北区,岡山市北区御津新庄,
